position,index,x_mm,y_mm
pos_1,1,-0.0,0.0
pos_1,2,-0.0,10.0
pos_1,3,0.7692307692307692,20.0
pos_1,4,1.282051282051282,29.230769230769226
pos_1,5,0.7692307692307692,38.97435897435897
pos_1,6,0.2564102564102564,48.717948717948715
pos_1,7,-0.2564102564102564,58.717948717948715
pos_1,8,-0.2564102564102564,68.71794871794872
pos_1,9,4.358974358974359,59.99999999999999
pos_1,10,8.46153846153846,51.53846153846153
pos_1,11,13.076923076923077,42.30769230769231
pos_1,12,17.435897435897434,33.33333333333333
pos_1,13,21.794871794871792,24.102564102564102
pos_1,14,26.41025641025641,15.641025641025639
pos_1,15,30.769230769230766,6.9230769230769225
pos_2,1,-0.0,0.0
pos_2,2,2.544932992796438,9.670745372626465
pos_2,3,7.634798978389314,18.323517548134355
pos_2,4,10.68871856974504,27.230783022921887
pos_2,5,8.65277217550789,36.64703509626871
pos_2,6,3.817399489194657,45.554300571056245
pos_2,7,-1.7814530949575067,54.20707274656413
pos_2,8,-5.34435928487252,63.623324819910955
pos_2,9,1.7814530949575067,57.006499038640214
pos_2,10,8.143785576948602,49.626193359530546
pos_2,11,13.997131460380409,41.2279144833023
pos_2,12,18.578010847414,32.57514230779441
pos_2,13,23.158890234447586,23.41338353372723
pos_2,14,26.976289723642246,15.269597956778629
pos_2,15,31.048182512116547,6.1078391827114515
